investment_class,currency,total_assets,yield,greatstone_rating,inception_date,tag,fund_size,return_ytd
Blend,USD,3200000000,1.92,4,20-02-2014,77687,Large,6
,USD,1190000000,2.59,,30-03-2009,195884,,3.05
Value,USD,2860000,0,0,28-12-2017,244385,Small,10.8
Growth,USD,10760000,0,,29-06-1999,160766,Large,15.01
Growth,USD,1320000000,0,3,02-11-1997,160478,Medium,20.12
Blend,USD,80020000,1.09,,23-11-2003,119348,Large,11.69
Growth,USD,53260000,1.8,2,15-10-2017,165374,Large,4
Blend,USD,323740000,2.73,3,30-07-2015,96677,Large,12.04
Blend,USD,46120000,2.12,3,14-12-2014,229490,Large,6.63
Value,USD,215550000,2.02,,05-12-2016,244034,Large,11.5
Blend,USD,266850000,2.44,,29-11-2012,253232,Large,9.38
Growth,USD,297990000,0,2,04-02-2002,209114,Medium,22.47
Growth,USD,3170000000,0,5,21-09-2008,38456,Large,16.45
Blend,USD,8240000000,1.11,3,06-12-1977,96884,Large,4.95
Value,USD,47380000,1.73,1,03-06-1991,94166,Large,1.89
Blend,USD,145670000,2.26,3,22-01-2013,226772,Large,12.01
Value,USD,477390000,1.49,2,16-06-2003,79181,Large,8.2
Growth,USD,634190000,2.14,2,27-07-2017,32759,Medium,2.07
Blend,USD,1860000000,3.6,,29-04-2012,46880,Medium,15.16
Growth,USD,117790000,0.37,3,30-09-2009,73628,Medium,14.78
Value,USD,823920000,1.61,3,14-01-2004,123947,Large,10.89
,USD,384930000,17.42,2,30-09-2014,52991,,5.95
Blend,USD,8710000000,0.43,,29-01-1996,215090,Large,10.91
Growth,USD,2430000000,0.43,4,29-09-1997,239363,Large,9.97
Growth,USD,414040000,2.45,3,28-02-2001,192167,Large,5.61
Value,USD,203580000,1.26,,20-06-2010,172421,Medium,2.33
Value,USD,850360000,0.3,1,03-02-2013,148679,Medium,12.87
Value,USD,7560000000,2.81,3,30-04-1995,170396,Large,4.51
Blend,USD,299530000,0.78,,18-08-2016,47447,Medium,15.53
Growth,USD,538070000,0.39,4,25-07-2013,31697,Large,17.19
Blend,USD,141190000,2.03,4,14-11-2006,117458,Large,8.29
Growth,USD,785670000,0,2,04-06-1995,173951,Small,17.36
,USD,1190000,0,0,11-09-2005,223532,,-14.29
Blend,USD,2740000000,0.28,2,02-03-1997,219239,Large,-2.76
Blend,USD,1580000000,0.93,3,27-02-2007,206882,Large,11.19
Value,USD,1520000000,1.82,3,26-03-2015,130130,Large,10.93
Value,USD,46480000000,0.9,2,30-07-2002,72548,Large,12.51
Growth,USD,2740000000,0.77,4,24-02-2005,126251,Large,13.07
Blend,USD,135870000,1.71,2,25-02-2016,104174,Large,10.12
Value,USD,868380000,0.73,3,14-09-2015,54701,Medium,10.78
Growth,USD,76150000,0.17,2,15-12-2016,227771,Medium,12.19
Growth,USD,4630000000,0.48,,28-08-2014,204227,Large,11.19
Blend,USD,132420000,1.38,4,04-07-1994,228284,Large,9.07
Value,USD,168390000,3.64,2,28-06-2006,40283,Small,3.49
Value,USD,318160000,1,,29-06-2000,75968,Large,0.46
Growth,USD,3370000000,4.31,4,15-09-2005,62018,Medium,3.04
Growth,USD,3760000000,0,2,30-12-1996,184895,Medium,19.43
Blend,USD,301800000,1.28,1,12-10-2003,60461,Medium,17.02
Value,USD,10420000,0.36,0,29-09-2016,102563,Large,-1.58
Blend,USD,523480000,7.76,,04-06-2017,109430,Medium,13.9
Blend,USD,228620000,0.68,2,02-10-2011,117602,Large,11.4
Blend,USD,196710000,0.37,3,01-01-2015,168866,Medium,13.53
Value,USD,10840000000,3.79,2,15-08-2000,83249,Large,3.88
Growth,USD,6120000000,0.12,5,08-09-2016,135926,Medium,13.5
,USD,36770000,2,3,28-05-2015,55997,,4.6
Value,USD,91490000,3.05,,30-06-1993,42929,Large,8.88
Growth,USD,353140000,2.34,,08-12-2011,238094,Large,9.64
Blend,USD,401030000,2.87,4,18-08-2002,169892,Medium,2.58
Blend,USD,15000000,0.97,0,13-12-2016,202535,Large,10.94
Blend,USD,150380000,3.87,4,28-02-2013,119582,Medium,5.55
Value,USD,112750000,6.24,4,31-07-2012,160577,Small,6.3
Blend,USD,1020000000,1.11,,30-12-2013,172538,Medium,12.07
Blend,USD,13020000,1.85,,28-05-2015,108449,Large,5.61
,USD,65370000000,2.71,3,30-12-2002,199817,,2.63
Blend,USD,596460000,2.38,3,09-09-2001,128906,Large,10.69
Blend,USD,37720000,3.43,0,06-03-2017,88307,Medium,4.14
Blend,USD,1540000000,2.31,5,29-04-2008,182933,Small,15.37
Growth,USD,474880000,2.19,5,29-11-2011,124334,Large,13.5
Value,USD,808730000,0.73,4,16-03-2017,227996,Medium,10.36
Blend,USD,85200000,0,,29-09-2009,237743,Small,15.36
Growth,USD,25130000,0,,05-06-2016,130265,Large,13.41
Value,USD,4290000000,2.42,3,28-02-2002,80891,Small,4.28
Growth,USD,16600000,0,1,21-08-1995,59624,Medium,-15.38
Growth,USD,791960000,6.05,0,28-07-2016,52469,Small,4.63
Blend,USD,31050000,2.83,3,30-07-2015,127448,Large,6.42
Growth,USD,92420000,3.89,,28-02-2013,52568,Medium,5.67
Growth,USD,431700000,1.53,3,28-02-2008,147374,Large,12.95
Blend,USD,2290000000,0,3,29-12-2005,66554,Medium,13.45
Blend,USD,12390000,1.83,3,26-12-2013,48977,Large,11.27
Growth,USD,271770000,1.88,,15-12-2014,173582,Medium,4.31
Value,USD,1620000000,3.68,4,14-12-2010,140039,Large,1.88
Value,USD,5500000000,1.87,3,14-09-1986,92546,Medium,1.46
Blend,USD,2.1593E+11,2.69,2,10-12-1986,242198,Large,2.92
Growth,USD,604940000,0,4,27-07-2005,89981,Large,12.65
Blend,USD,139690000,2.96,,19-09-1989,174500,Medium,2.27
,USD,60460000,1.6,,01-11-2017,212831,,1.36
Growth,USD,2850000000,2.22,4,30-07-2002,72233,Large,7.71
Blend,USD,21600000,0,4,29-09-2015,179522,Small,15.55
Growth,USD,271250000,0,4,28-05-2009,46061,Large,16.74
Blend,USD,125430000,2.85,3,19-01-2015,174221,Medium,3.54
Blend,USD,335750000,2.11,4,29-05-2008,145997,Large,10.85
,USD,176510000,1.99,,29-10-2015,222677,,2.77
Value,USD,1330000,2.39,3,30-12-2014,44918,Large,7.74
Value,USD,207680000,2.88,5,16-10-2002,215576,Small,1.54
Value,USD,1390000000,0,3,27-02-2008,128294,Large,9.08
Growth,USD,205430000,2.88,3,21-12-2015,99746,Small,3.17
Value,USD,91680000,1.22,1,30-06-2014,66635,Large,9.84
Growth,USD,189040000,0,3,14-08-2008,58796,Large,10.79
Blend,USD,12730000,1.85,4,28-04-2011,43271,Large,10.74
Growth,USD,291020000,0.68,5,31-03-1996,78434,Medium,15.45
Value,USD,8410000000,6.38,5,30-10-2011,188900,Small,7.21
Value,USD,1620000000,1.14,2,20-02-2014,146870,Large,13.93
Growth,USD,2070000000,0.61,3,15-06-2015,128537,Large,13.7
Value,USD,1280000000,3.26,2,26-04-1993,51650,Large,7.52
Growth,USD,176100000,3.22,4,16-09-2007,136835,Medium,3.79
Growth,USD,547820000,0.02,3,26-03-2015,136025,Large,16.23
Blend,USD,3910000000,1.63,2,30-07-2007,137096,Large,11.39
Value,USD,319680000,2.16,3,28-05-1985,68966,Large,1.87
Blend,USD,526680000,3.89,3,21-12-2006,111455,Medium,2.67
Blend,USD,625260000,1.65,3,28-09-2005,158372,Large,10.15
Blend,USD,5660000,1.02,5,29-11-2015,249227,Large,8.64
Value,USD,8920000000,4.34,3,29-02-2012,100286,Large,5.66
Blend,USD,2590000000,1.87,3,27-02-2017,240785,Medium,17.15
Value,USD,519480000,0,,31-07-2003,176975,Medium,12.25
Blend,USD,88500000,1.38,3,29-09-2004,238058,Large,8.57
Blend,USD,645770000,2.79,2,29-05-2003,71981,Large,11.88
Blend,USD,57480000,2.77,4,31-03-2014,160235,Large,11.36
Growth,USD,87320000,0,1,03-11-2013,54359,Medium,16.67
Value,USD,652630000,0.28,3,17-09-1990,86282,Small,10.69
Value,USD,561220000,1.26,3,15-06-2011,167948,Large,11.76
Value,USD,98640000,0,2,28-02-2011,238985,Small,12.08
Growth,USD,177770000,5.3,0,29-06-2015,141794,Small,7.43
Blend,USD,24950000000,3.54,,03-08-2008,248444,Medium,4.25
Blend,USD,69860000000,1.48,4,03-01-1965,68300,Large,10.29
Value,USD,763000000,0.72,3,13-03-1996,85085,Medium,10.41
Growth,USD,772320000,3.96,,14-07-2002,55808,Small,3.01
Value,USD,97010000,0.26,2,29-08-2004,114875,Large,14.19
Value,USD,93140000,1.48,3,26-02-1998,184463,Medium,1.65
Growth,USD,1750000000,0,,20-05-2007,210329,Small,13.29
Blend,USD,10430000000,1.05,4,31-10-2004,194507,Large,11.05
Growth,USD,381470000,2.52,3,01-02-1994,90602,Medium,3.27
Growth,USD,4380000000,0.96,4,30-03-2015,107333,Large,13.61
Value,USD,205240000,3.36,4,22-04-1987,242675,Medium,2.39
Blend,USD,184380000,0,,30-10-2012,148076,Small,14.12
Blend,USD,28160000,0,0,30-07-2017,104696,Medium,-8
Value,USD,1760000000,1.54,3,08-11-2010,64151,Medium,6.93
Blend,USD,103680000,5.62,2,23-10-2016,109952,Small,6.4
Growth,USD,167750000,0,3,19-12-2007,70514,Large,5.69
Value,USD,18460000,1.74,3,10-01-2016,186767,Large,10.73
Blend,USD,272910000,1.01,2,30-12-1997,64961,Large,7.45
Blend,USD,60500000,1.71,2,15-12-1976,28349,Large,13.09
Blend,USD,353870000,2.1,3,12-07-1995,67688,Medium,2.77
Blend,USD,526680000,3.7,2,30-10-2002,111401,Medium,2.61
Value,USD,4820000000,4.85,,07-05-2006,218699,Small,3.93
Blend,USD,214350000,0.91,,26-04-2009,31220,Large,7.39
Blend,USD,36650000,2.28,,29-06-2011,190016,Large,9.64
Value,USD,30350000,1.87,,15-12-2016,72566,Large,9.84
Blend,USD,49690000,1.02,2,29-06-2010,145835,Large,11.48
Growth,USD,194720000,0,5,30-05-2017,152549,Small,10.69
Blend,USD,1480000000,2.54,5,12-06-2013,59732,Large,8.61
Value,USD,2110000000,6.01,4,31-07-2008,240182,Large,7.26
Growth,USD,309890000,0,,07-11-2012,63260,Small,16.87
Growth,USD,271250000,0,,30-12-2008,45854,Large,16.68
Blend,USD,496500000,0,3,28-05-2014,191744,Large,4.69
Blend,USD,236450000,4.87,2,02-05-2006,122255,Medium,15.12
Value,USD,3450000000,9.21,4,30-03-2010,158156,Medium,12.24
Value,USD,3900000000,3.78,5,02-06-2009,59858,Medium,4.26
Growth,USD,88540000,1.06,4,03-04-2017,231848,Large,14.06
Value,USD,493160000,1.13,2,14-12-1999,104210,Large,11.89
Value,USD,313780000,0.75,,26-03-2009,71900,Large,1.47
Blend,USD,239430000,2.57,3,31-03-2014,162800,Large,11.18
Value,USD,685600000,3.33,2,29-06-2015,143918,Large,7.28
Value,USD,633040000,1.48,4,30-07-2017,129401,Large,10.89
Growth,USD,60370000000,0,5,29-09-2002,210599,Large,16.02
Blend,USD,433610000,1.92,,28-09-1989,197387,Large,2.3
Value,USD,455980000,3.38,3,31-07-2017,83861,Medium,2.41
Blend,USD,54740000000,1.22,4,19-02-2002,57968,Large,8.75
Growth,USD,263100000,2.64,2,06-03-2011,57905,Large,13.01
Blend,USD,2180000000,1.61,,23-07-2003,85256,Large,12.2
Blend,USD,2170000000,1.18,3,30-06-1996,226493,Large,13.86
Value,USD,377530000,3.56,3,19-08-2013,76940,Large,5.11
Value,USD,2610000000,5.49,4,29-03-2011,180692,Small,2.62
Blend,USD,66510000,0.49,0,29-01-2017,253565,Large,10.8
,USD,42210000,2.76,3,30-12-2014,145691,,2.21
Blend,USD,37740000,1.44,4,30-12-2007,78731,Large,7.25
Blend,USD,660620000,2.83,4,30-07-2013,37772,Large,11.66
Growth,USD,267930000,0,2,30-11-2003,193850,Large,11.15
Value,USD,82980000,0,,08-12-2002,173123,Medium,17.68
Blend,USD,42500000,4.36,2,30-12-2003,163124,Large,-4.13
Growth,USD,5730000000,0.87,3,30-07-2002,71702,Large,14.45
,USD,387140000,1.51,2,30-03-2014,146231,,2.95
,USD,977330000,5.2,5,20-09-2015,42830,,2.52
Blend,USD,486570000,2.15,,31-08-2015,68183,Medium,12.93
Blend,USD,9280000000,2.23,5,26-01-2017,96434,Large,10.28
Growth,USD,1680000000,0,4,30-03-2005,66212,Large,20.41
Blend,USD,1850000000,2.62,3,21-12-2006,123875,Medium,3.52
Blend,USD,5480000,0.58,4,29-11-2015,249389,Large,6.91
Blend,USD,645770000,3.8,3,26-08-2007,73322,Large,12.12
Blend,USD,882380000,0.82,3,10-06-2014,188999,Medium,12.07
Blend,USD,903800000,2.07,2,30-12-2003,97343,Large,12.4
Growth,USD,183060000,0,2,29-09-2003,76193,Medium,2.13
Blend,USD,853100000,5.79,,11-09-2000,219446,Small,2.24
Growth,USD,1390000000,1.67,2,21-12-2014,135368,Large,12.98
Value,USD,737580000,1.97,3,31-05-2015,59192,Large,9.43
Blend,USD,299530000,1.16,0,18-08-2016,47519,Medium,15.49
Blend,USD,78650000,1.22,1,26-12-2010,174140,Large,11.95
Blend,USD,728310000,0.18,,08-09-2002,120095,Small,14.03
Growth,USD,1840000000,2.89,4,29-09-2009,228536,Large,7.51
Value,USD,457310000,1.41,2,03-10-1993,124514,Large,12.47
Value,USD,321560000,2.67,,04-06-2015,186443,Large,9.15
Blend,USD,237230000,2.44,2,30-04-1995,78353,Large,2.35
Growth,USD,95210000000,1.96,3,19-11-2015,207728,Large,11.42
Blend,USD,132710000,0.34,,08-09-2015,114524,Large,5.75
Blend,USD,446790000,0,1,17-05-2009,201563,Medium,9.96
Growth,USD,8340000000,0,3,31-03-2014,152666,Medium,17.22
Blend,USD,18970000,1.91,4,29-04-2010,116765,Large,4.72
Value,USD,633040000,1.41,4,01-01-1998,243611,Large,10.77
Blend,USD,18640000,2.44,3,19-04-2007,46142,Large,10.4
Value,USD,414640000,4.5,,13-04-1998,74159,Medium,7.77
Growth,USD,3260000000,0,4,04-12-2007,138599,Large,18.42
Blend,USD,1910000000,1.29,3,20-12-1982,196397,Large,12.53
Growth,USD,75130000,0.66,4,28-02-2017,51146,Medium,16.48
Blend,USD,1.1078E+11,3.08,,03-01-2001,247220,Large,10.25
Growth,USD,1510000000,0.9,4,07-10-2008,170612,Large,10.28
Value,USD,150600000,1.39,,28-05-2014,184679,Medium,2.05
Blend,USD,4780000000,2.43,3,13-09-2015,43082,Medium,2.76
,USD,460200000,2.45,3,19-06-2007,104381,,4.13
Blend,USD,981960000,0.5,2,16-06-2013,171827,Large,9.04
Blend,USD,3090000000,1.77,2,01-04-2007,115739,Large,9.41
Growth,USD,216930000,2.05,0,26-06-2016,99242,Large,16.63
Blend,USD,218210000,0,2,02-02-2004,234089,Medium,12.6
Blend,USD,201010000,0,2,14-05-2012,168812,Large,3.91
Growth,USD,4130000000,3.34,4,31-03-2005,153368,Medium,5.52
Value,USD,3640000000,2.52,3,28-09-2000,46016,Medium,2.46
Blend,USD,2460000000,1.99,4,10-02-2004,245213,Large,11.53
Value,USD,18460000,1.34,,10-01-2016,186758,Large,10.85
Value,USD,765970000,1.26,4,14-12-1986,113363,Large,10.3
Growth,USD,958490000,0,5,03-10-1999,252476,Small,4.17
Blend,USD,821500000,1.07,2,10-11-2002,116927,Large,5.45
Growth,USD,3770000000,2.23,3,13-10-2005,131327,Large,12.9
Value,USD,852980000,2.35,2,27-08-2015,208448,Large,6.52
Blend,USD,3210000000,0.45,3,05-07-2009,133379,Medium,13.92
Growth,USD,5300000,0.96,3,20-04-2009,243539,Large,10.19
Blend,USD,2400000000,2.01,4,07-09-2011,90413,Large,9.75
Value,USD,90830000,3.65,0,19-04-2017,224855,Large,0.62
Blend,USD,1330000000,2.93,2,13-02-2005,100097,Large,9.8
Blend,USD,2290000,1.8,0,30-05-2017,145700,Large,13
Growth,USD,62150000,1.72,,07-11-2012,51137,Medium,8.76
Value,USD,910530000,0.41,2,01-10-1995,238742,Large,13.92
Blend,USD,309230000,1.6,,30-01-2018,221048,Large,13.93
Blend,USD,61780000,3.62,3,28-04-2011,38627,Large,15.64
Blend,USD,48690000,0.11,1,01-01-2009,186218,Large,16.16
Value,USD,731660000,1.43,2,12-05-1994,55205,Large,10.47
Blend,USD,229450000,0.81,3,26-12-2011,248057,Small,10.91
Growth,USD,117600000,1.43,3,01-05-2007,133028,Large,7.87
Growth,USD,1780000000,0.8,3,28-02-2010,182429,Large,13.24
Blend,USD,3210000000,1.32,4,30-05-2012,127907,Medium,14.1
Growth,USD,4550000000,0,,27-09-2007,40229,Large,19.65
Growth,USD,13980000000,3.73,5,11-11-2001,247751,Medium,3.46
Value,USD,11490000000,3.16,4,31-05-2010,67409,Small,2.9
Blend,USD,72340000,2.27,2,27-02-2001,89846,Medium,2.4
,USD,7280000000,2.99,3,02-04-2000,99728,,3.79
Blend,USD,133250000,2.51,,14-12-2014,229841,Large,8.82
Growth,USD,1270000,1.56,,24-06-2012,165176,Large,6.19
Blend,USD,804760000,2.49,,06-01-1997,194921,Large,14.29
Blend,USD,1270000000,0.72,,31-05-1981,230606,Small,14.27
Blend,USD,631870000,1.34,4,27-04-2000,159200,Large,12.44
Growth,USD,84580000,2.05,2,02-01-2001,220166,Large,12.06
,USD,42210000,2.73,4,30-12-2014,145637,,3.45
Blend,USD,61780000,3.62,3,09-04-2017,38600,Large,15.53
Blend,USD,2400000,2.95,2,26-12-2013,48905,Large,6.43
Blend,USD,133150000,0.28,2,29-06-1998,36872,Medium,14.93
Blend,USD,285690000,2.79,4,12-05-2014,42407,Medium,2.4
Value,USD,36660000,0.72,,29-08-2013,114974,Large,10.98
Value,USD,13380000000,2,,07-11-2012,53567,Large,12.02
Growth,USD,1130000000,0.4,2,24-09-2000,178487,Large,15.67
Blend,USD,156520000,0.05,3,28-06-2001,68651,Medium,13.15
,USD,97840000,0.73,4,09-09-2012,75599,,-0.45
Blend,USD,37240000,3.78,,07-12-2015,139958,Medium,3.95
Growth,USD,28000000,1.64,3,28-06-2012,144134,Large,8.71
Blend,USD,1310000,2.04,1,13-10-2014,157328,Large,9.19
Value,USD,560780000,4.72,3,27-04-2010,169775,Small,6
Growth,USD,244740000,4.72,3,30-05-2013,118448,Small,2.25
Blend,USD,1080000000,0.02,2,01-06-2003,47762,Large,14.66
Value,USD,14410000000,4.54,,09-04-2017,232721,Large,7.22
,USD,10830000000,2.35,5,19-01-1997,186317,,2.87
Growth,USD,1130000000,3.21,3,07-11-2012,56240,Small,5.68
Growth,USD,1.2369E+11,0,4,28-03-2016,246455,Medium,3.06
Blend,USD,250690000,0,3,03-11-2003,39968,Medium,16.57
Growth,USD,263400000,0,3,31-07-1996,211238,Medium,16.57
Blend,USD,16300000,1.43,2,20-12-2015,247355,Large,11.39
Blend,USD,443440000,3.27,,30-04-2013,73502,Medium,2.94
Blend,USD,314660000,3.41,4,29-10-2006,131876,Large,7.8
Blend,USD,23590000,2.99,3,31-08-2016,196253,Large,11.12
Blend,USD,375050000,1.8,4,01-10-1989,242639,Large,13.13
Blend,USD,323610000,2.6,3,29-05-2014,45260,Large,9.03
Blend,USD,200380000,2.98,3,02-05-1999,151649,Medium,3.97
Value,USD,2690000000,5.67,,25-10-2012,115379,Small,5.46
Blend,USD,5010000000,2.23,,12-07-2009,206504,Large,6.49
Growth,USD,25040000,5.43,3,27-03-2008,165698,Large,13.39
Blend,USD,1390000000,1.32,3,31-05-2006,82871,Large,11.98
Value,USD,175030000,4.45,5,02-10-2005,221291,Small,4.23
Blend,USD,37080000,1.76,2,04-03-1998,153440,Medium,3.68
Blend,USD,890400000,3.98,2,26-03-2015,130112,Small,3.99
Blend,USD,32140000,6.03,2,07-11-2013,177740,Medium,7.04
Blend,USD,366640000,1.57,,28-09-2005,153845,Large,6.42
Growth,USD,11170000,0,2,19-02-2004,214712,Small,8.27
Blend,USD,328930000,0.73,3,07-04-2003,89315,Large,13.27
Growth,USD,291510000,2.08,1,30-05-1994,138869,Medium,2.65
Blend,USD,370550000,0.16,1,03-04-2005,155474,Large,11.89
Blend,USD,764950,2.02,0,28-12-2017,190619,Large,10.77
Growth,USD,2270000000,0,4,29-04-2003,48032,Medium,16.73
Blend,USD,3190000,1.57,,13-10-2014,146204,Medium,1.67
Value,USD,207600000,0.67,,16-03-2017,123227,Small,12.29
Blend,USD,687040000,2.44,,30-12-2004,163340,Medium,4.13
Growth,USD,100160000,0.63,2,31-05-1990,76868,Large,11.86
,USD,1300000000,1.44,3,29-04-2015,219968,,0.8
Blend,USD,11120000000,2.98,4,03-12-2015,228644,Large,9.99
Value,USD,222270000,0.58,3,28-09-2017,210320,Medium,13.77
Value,USD,25370000000,3.1,3,27-08-2015,197648,Small,3.3
Blend,USD,1010000000,1.94,,30-04-2007,96263,Medium,1.81
Blend,USD,1090000000,2.24,3,01-07-2012,134819,Large,9.31
Growth,USD,208740000,0.53,3,02-11-2008,161810,Large,12.63
Value,USD,3960000000,3.52,2,26-06-2007,71252,Small,1.93
Growth,USD,845900000,1.03,3,04-04-2005,176282,Large,13.1
Blend,USD,235620000,2.07,3,28-06-2007,163061,Large,9.55
Value,USD,3670000000,3.55,4,10-09-2008,192041,Large,6.48
Value,USD,1520000000,0,,27-12-2006,144881,Medium,13.58
Growth,USD,155110000,1.48,4,25-02-2016,236402,Large,11.14
Growth,USD,1980000000,0,3,02-10-2003,75041,Large,14.92
Value,USD,633040000,1.87,4,01-11-2015,243638,Large,11.03
Blend,USD,1240000000,2.6,3,22-12-2008,184490,Large,4.69
Blend,USD,104730000,2.58,3,14-12-2014,229598,Large,7.18
Value,USD,620990000,3.43,0,04-07-2016,66329,Medium,1.37
Growth,USD,9200000000,0.54,2,05-01-2005,93644,Large,11.6
Value,USD,5500000000,1.67,,11-07-2016,79424,Medium,1.41
,USD,645720000,3.64,0,21-09-2016,212471,,1.93
Blend,USD,525730000,2.11,,14-10-1996,171908,Large,6.53
Value,USD,1400000000,3.49,,05-09-2006,248489,Small,2.46
Growth,USD,1350000000,0.06,5,30-03-2010,216665,Large,16
Blend,USD,40040000,2.35,0,12-12-2016,183824,Large,7.24
Blend,USD,1100000,0.84,0,17-12-2017,108854,Large,14.1
Growth,USD,42690000000,0,4,19-06-2002,211697,Medium,15.39
Value,USD,3640000000,2.16,3,28-09-2000,46034,Medium,2.38
Blend,USD,335690000,0,,17-02-1997,114290,Small,6.09
Blend,USD,5780000,3.74,2,03-06-2013,206045,Medium,14.98
Blend,USD,1470000000,2.36,,31-01-2008,232424,Large,12.51
Growth,USD,826880000,0.07,5,18-09-2016,136322,Medium,24.04
Blend,USD,132030000,2.01,0,15-12-2016,181790,Large,12.41
Value,USD,3240000000,1.55,,30-09-2002,228860,Medium,14.58
Value,USD,34590000,2.21,3,29-06-2014,215711,Large,10.65
Growth,USD,7210000000,0.52,,30-07-2002,74834,Large,17.36
Blend,USD,1780000000,1.81,,09-01-2014,138887,Large,10.28
Blend,USD,1850000000,1.13,3,01-07-1990,202427,Large,9.01
Blend,USD,145790000,0.79,4,29-04-1996,77381,Large,10.85
Blend,USD,4150000000,2.88,4,03-04-2017,145421,Medium,3.04
Blend,USD,2480000000,0,2,23-09-2010,193499,Large,11.67
,USD,4400000000,1.96,4,14-08-1997,104336,,2.73
Blend,USD,1120000000,3.31,,29-06-2015,141470,Large,2.91
Growth,USD,63670000,0,1,30-01-2012,248219,Medium,9.66
Value,USD,850360000,0,,23-02-2014,148670,Medium,12.71
Value,USD,19120000000,1.32,4,02-01-2003,162278,Large,10.1
Growth,USD,459810000,0.17,4,07-11-2012,60263,Large,13.97
Growth,USD,1370000000,0,3,21-12-2006,110132,Large,13.95
,USD,2240000000,5.14,3,31-07-1997,104003,,7.65
Blend,USD,36890000,1.03,0,29-12-2016,103247,Medium,13.56
Value,USD,602640000,3.25,3,01-06-2010,151415,Medium,7.74
,USD,,,2,29-06-2015,142064,,
Blend,USD,2890000000,1.98,2,02-02-2014,70694,Large,9.48
Blend,USD,166830000,1.26,3,11-02-2008,122849,Small,11.21
Blend,USD,2480000000,0,,23-09-2010,193490,Large,11.65
Blend,USD,9200000,1.98,,05-12-2016,153818,Large,12.78
Blend,USD,132040000,1.81,0,25-05-2016,179135,Large,12.43
Growth,USD,6610000000,1.2,,30-06-1999,232937,Large,14.76
Growth,USD,177770000,5.06,2,27-09-2007,141785,Small,7.38
Blend,USD,402980000,0.36,,26-05-2015,130544,Small,15.91
Blend,USD,19780000,1.07,3,19-03-2015,186137,Large,12.09
Growth,USD,178960000,0.41,,19-12-2007,169415,Large,11.49
Blend,USD,206310000,2.45,0,27-04-2016,166787,Large,7.78
Value,USD,230470000,1.92,,30-04-2012,147410,Large,1.36
Blend,USD,7570000,2.33,0,21-08-2016,105182,Large,11.74
Blend,USD,2420000000,2,4,23-06-2015,83222,Large,11.94
Blend,USD,195200000,1.82,2,25-03-2014,132596,Large,12.13
Blend,USD,2290000000,1.58,,23-07-2003,81053,Large,8.26
Value,USD,1590000000,1.11,,20-06-2010,172979,Large,9.85
Growth,USD,3090000000,0,,24-06-2010,162341,Large,16.83
Growth,USD,72110000000,2.62,4,30-03-1997,166688,Large,3.14
Value,USD,243590000,2.25,3,12-05-2014,202112,Large,8.88
Blend,USD,10720000,2.1,5,31-07-2014,223235,Medium,18.43
Value,USD,972210000,2.96,4,09-02-2014,169145,Medium,4.07
Growth,USD,13460000000,0,,28-05-2009,109682,Medium,20.05
Growth,USD,448940000,1.3,4,11-05-2006,28772,Large,10.34
Value,USD,3020000000,0.97,3,27-12-1992,88820,Large,12.75
,USD,2890000000,12.16,1,30-05-2005,191906,,1.69
,USD,89560000,0.01,,30-04-2006,70910,,26.64
Blend,USD,2120000000,0,2,28-02-2002,120527,Large,8.85
Growth,USD,2300000000,0,3,30-10-2005,61442,Large,17.37
Blend,USD,11670000,2.26,1,28-06-2004,101807,Large,9.48
Growth,USD,624580000,0,4,14-08-1997,97883,Small,13.77
Value,USD,495180000,1.67,,30-04-2002,124694,Large,11.93
Value,USD,471230000,5.44,4,29-09-2011,109484,Small,3.9
Blend,USD,2740000,0.9,0,21-03-2017,37313,Large,10.86
Blend,USD,3840000000,2.35,,04-01-2016,82385,Large,9.78
,USD,19410000,0.37,2,02-10-2008,115613,,5.23
Blend,USD,5020000000,2.79,2,05-07-2009,127628,Medium,3.12
Blend,USD,20020000,1.82,0,12-07-2016,46529,Large,12.76
Blend,USD,1320000000,0.8,4,05-12-2000,198890,Small,11.55
Growth,USD,139100000,0,3,30-07-1997,32165,Medium,18.95
Blend,USD,354830000,0.45,,06-11-1996,190322,Large,12.16
Blend,USD,33740000,1.64,,02-10-2011,123344,Large,9.58
Blend,USD,5880000000,2.42,3,27-10-1991,243323,Large,2.1
Growth,USD,17950000,0,3,11-11-2012,136106,Small,16.22
Value,USD,1110000000,2.04,5,01-03-2015,138320,Large,12.6
Blend,USD,2280000000,3.43,4,02-02-1988,245456,Medium,3.24
Growth,USD,1730000000,0.86,3,08-10-2007,83168,Large,6.54
Blend,USD,1190000000,2.73,,25-02-1993,231389,Medium,3
Blend,USD,1580000000,3.57,5,30-07-2013,37655,Large,7.48
Growth,USD,158860000,3.18,2,02-10-2011,225782,Medium,6.22
Blend,USD,218570000,0.3,4,11-03-2010,39725,Large,10.94
Value,USD,1010000000,1.9,2,24-11-2014,183050,Medium,14.87
Value,USD,230470000,1.6,,02-02-2014,147905,Large,1.28
Blend,USD,749090000,2.38,4,29-10-2006,132497,Large,12.3
Blend,USD,177010000,0,0,07-02-1999,182285,Large,-10.09
Growth,USD,156470000,0.61,2,03-05-1998,226592,Large,9.4
Blend,USD,164330000,1.03,1,05-11-2003,80081,Large,5.09
Blend,USD,973710000,1.89,3,30-03-2003,67967,Medium,2.64
